ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"113722","Charles ""Charlie"" Spedding","M",32,173,63,"Great Britain","GBR","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's Marathon","Bronze"
"113752","Malcolm Emanuel Augustus ""Mal"" Spence","M",24,177,71,"West Indies Federation","WIF","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"113753","Malcolm Clive Spence","M",22,187,76,"South Africa","RSA","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's 400 metres","Bronze"
"113763","Ashley Spencer","F",23,178,59,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 400 metres Hurdles","Bronze"
"113767","Emerson Lane ""Bud"" Spencer","M",21,183,72,"United States","USA","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"113772","Edward Adams Spencer","M",26,165,53,"Great Britain","GBR","1908 Summer",1908,"Summer","London","Athletics","Athletics Men's 10 mile Walk","Bronze"
"113888","Aleksey Sergeyevich Spiridonov","M",24,192,117,"Soviet Union","URS","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Men's Hammer Throw","Silver"
"113894","Leonid Vasilyevich Spirin","M",24,NA,NA,"Soviet Union","URS","1956 Summer",1956,"Summer","Melbourne","Athletics","Athletics Men's 20 kilometres Walk","Gold"
"113946","Barbora potkov","F",27,182,80,"Czech Republic","CZE","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Javelin Throw","Gold"
"113946","Barbora potkov","F",31,182,80,"Czech Republic","CZE","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Javelin Throw","Gold"
"113946","Barbora potkov","F",35,182,80,"Czech Republic","CZE","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's Javelin Throw","Bronze"
"114138","Xenia Stad-de Jong (-van Bijlevelt)","F",26,NA,NA,"Netherlands","NED","1948 Summer",1948,"Summer","London","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"114151","Joseph Francis Stadler","M",24,NA,NA,"United States","USA","1904 Summer",1904,"Summer","St. Louis","Athletics","Athletics Men's Standing High Jump","Silver"
"114151","Joseph Francis Stadler","M",24,NA,NA,"United States","USA","1904 Summer",1904,"Summer","St. Louis","Athletics","Athletics Men's Standing Triple Jump","Bronze"
"114182","Linda Stahl","F",26,176,79,"Germany","GER","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Javelin Throw","Bronze"
"114226","Maria Geertruida ""Ria"" Stalman","F",32,179,82,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's Discus Throw","Gold"
"114282","Anioara Stanciu-Cumir","F",22,172,63,"Romania","ROU","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's Long Jump","Gold"
"114307","Andrew William ""Andy"" Stanfield","M",24,187,79,"United States","USA","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's 200 metres","Gold"
"114307","Andrew William ""Andy"" Stanfield","M",24,187,79,"United States","USA","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"114307","Andrew William ""Andy"" Stanfield","M",28,187,79,"United States","USA","1956 Summer",1956,"Summer","Melbourne","Athletics","Athletics Men's 200 metres","Silver"
"114320","Robert Sedgewick Stangland","M",22,NA,NA,"United States","USA","1904 Summer",1904,"Summer","St. Louis","Athletics","Athletics Men's Long Jump","Bronze"
"114320","Robert Sedgewick Stangland","M",22,NA,NA,"United States","USA","1904 Summer",1904,"Summer","St. Louis","Athletics","Athletics Men's Triple Jump","Bronze"
"114323","George Anthony Stanich","M",19,190,84,"United States","USA","1948 Summer",1948,"Summer","London","Athletics","Athletics Men's High Jump","Bronze"
"114565","Richard Vaughn ""Dick"" Stebbins","M",19,180,68,"United States","USA","1964 Summer",1964,"Summer","Tokyo","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"114573","Renate Stecher (Meiner-)","F",22,170,71,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Women's 100 metres","Gold"
"114573","Renate Stecher (Meiner-)","F",22,170,71,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Women's 200 metres","Gold"
"114573","Renate Stecher (Meiner-)","F",22,170,71,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
